"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=panthera&taxon_reso=species"
"Access Time","Fri 2017-02-03 19:34:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","panthera"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0122"
"Records Found","291"
"Records Returned","291"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"150060","occ","","","13293","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150061","occ","","","13293","Panthera tigris","species","90651","","Panthera tigris","species","104157","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150891","occ","","","13456","Panthera cf. leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","Holocene","0.126","0","6077"
"154618","occ","","","13738","Panthera tigris","species","90651","","Panthera tigris","species","104157","Holocene","","0.0117","0","6145"
"196214","occ","","","20166","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","3081"
"196737","occ","","","20283","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","2607"
"196738","occ","","","20283","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","2607"
"196757","occ","9314","","20285","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","6294"
"196782","occ","","","20286","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","3491"
"196823","occ","9335","","20289","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","6294"
"196856","occ","","","20290","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","6221"
"196936","occ","","","20295","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","1907"
"197047","occ","","","20302","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","1725"
"197048","occ","","","20302","Panthera augusta","species","161738","subjective synonym of","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","1725"
"197125","occ","","","20307","Panthera ? onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","1558"
"197300","occ","9447","","20322","Panthera cf. onca","species","49735","","Panthera onca","species","46524","Blancan","","4.9","1.8","6294"
"197405","occ","","","20335","Panthera cf. onca","species","49735","","Panthera onca","species","46524","Irvingtonian","Rancholabrean","1.8","0.012","2018"
"197503","occ","","","20347","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","1916"
"197626","occ","","","20354","Panthera cf. onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","1727"
"198118","occ","","","20415","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","2615"
"198525","occ","","","20479","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","3103"
"198614","occ","9729","","20491","Panthera onca","species","49735","","Panthera onca","species","46524","Rancholabrean","","0.3","0.012","6294"
"198687","occ","","","20499","Panthera cf. onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","6221"
"198876","occ","","","20520","Felis onca","species","46524","recombined as","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","3567"
"198877","occ","","","20520","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","3567"
"198977","occ","","","20533","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","1302"
"199212","occ","","","20569","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","1936"
"199311","occ","9853","","20573","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","6294"
"199322","occ","","","20576","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","1785"
"199416","occ","9864","","20593","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","6294"
"199496","occ","","","20600","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","2727"
"199590","occ","9883","","20608","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","6294"
"199645","occ","","","20615","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","1200"
"199887","occ","","","20639","Felis cf. atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","2588"
"199971","occ","9938","","20647","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","6294"
"212977","occ","","","21687","Panthera onca","species","49735","","Panthera onca","species","46524","Holocene","","0.0117","0","4787"
"213102","occ","","","21689","Panthera onca","species","49735","","Panthera onca","species","46524","Holocene","","0.0117","0","4790"
"213114","occ","","","21690","Panthera leo","species","49734","","Panthera leo","species","46521","Holocene","","0.0117","0","4792"
"213115","occ","","","21690","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","4792"
"213203","occ","","","21691","Panthera onca","species","49735","","Panthera onca","species","46524","Holocene","","0.0117","0","4796"
"213254","occ","","","21693","Panthera leo","species","49734","","Panthera leo","species","46521","Holocene","","0.0117","0","4805"
"213255","occ","","","21693","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","4805"
"213409","occ","","","21790","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213428","occ","","","21798","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213452","occ","","","21802","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213465","occ","","","21806","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213472","occ","","","21807","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213492","occ","","","21811","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213499","occ","","","21813","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213517","occ","","","21830","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Zanclean","Piacenzian","5.333","2.588","4451"
"213593","occ","","","21856","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","Holocene","2.588","0","5211"
"213594","occ","","","21856","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","Holocene","2.588","0","5211"
"213627","occ","","","21857","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","Holocene","2.588","0","5212"
"213655","occ","","","21859","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","Holocene","2.588","0","5212"
"213827","occ","","","21893","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","5226"
"213869","occ","","","21896","Panthera leo","species","49734","","Panthera leo","species","46521","Holocene","","0.0117","0","5227"
"214182","occ","","","21953","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","5252"
"214243","occ","","","21961","Felis pardus","species","104158","recombined as","Panthera pardus","species","104158","Calabrian","","1.806","0.781","5261"
"218268","occ","","","22272","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","5569"
"219117","occ","","","22489","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","5619"
"219118","occ","","","22489","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","5619"
"219554","occ","","","22553","Panthera pardus","species","72185","","Panthera pardus","species","104158","Gelasian","Calabrian","2.588","0.781","5636"
"219675","occ","","","22578","Panthera pardus","species","72185","","Panthera pardus","species","104158","Gelasian","Calabrian","2.588","0.781","5636"
"220523","occ","","","21894","Panthera leo","species","49734","","Panthera leo","species","46521","Holocene","","0.0117","0","5210"
"220673","occ","","","21912","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","5214"
"220709","occ","","","21916","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","5235"
"220762","occ","","","21918","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","5234"
"220802","occ","","","21931","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","5241"
"220803","occ","","","21931","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","5241"
"220830","occ","","","21940","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","5214"
"220845","occ","","","21943","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","5214"
"220898","occ","","","21948","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","Holocene","2.588","0","5246"
"220937","occ","","","21949","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","Holocene","2.588","0","5248"
"220974","occ","","","21950","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","Holocene","2.588","0","5249"
"221009","occ","","","21951","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","Holocene","2.588","0","5250"
"221049","occ","","","21954","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","5232"
"221322","occ","","","21276","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221323","occ","","","21276","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221356","occ","","","21277","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"222409","occ","","","21442","Panthera cf. leo","species","49734","","Panthera leo","species","46521","Pliocene","Pleistocene","5.333","0.0117","4760"
"222486","occ","","","21451","Panthera cf. leo","species","49734","","Panthera leo","species","46521","Pliocene","Pleistocene","5.333","0.0117","4469"
"224343","occ","","","21755","Panthera cf. pardus","species","72185","","Panthera pardus","species","104158","Pliocene","","5.333","2.588","4447"
"224497","occ","","","21791","Panthera leo","species","49734","","Panthera leo","species","46521","Pliocene","Calabrian","5.333","0.781","4867"
"224498","occ","","","21791","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pliocene","Calabrian","5.333","0.781","4867"
"224947","occ","","","21821","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pliocene","","5.333","2.588","4867"
"224976","occ","","","21822","cf. Panthera leo","species","49734","","Panthera leo","species","46521","Calabrian","","1.806","0.781","4867"
"224998","occ","","","21824","Panthera leo","species","49734","","Panthera leo","species","46521","Early Pleistocene","","2.588","0.781","4896"
"224999","occ","","","21824","Panthera pardus","species","72185","","Panthera pardus","species","104158","Early Pleistocene","","2.588","0.781","4896"
"225086","occ","","","21825","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","4892"
"225087","occ","","","21825","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","4892"
"225182","occ","","","21826","cf. Panthera pardus","species","72185","","Panthera pardus","species","104158","Pliocene","Pleistocene","5.333","0.0117","4868"
"225191","occ","","","21827","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pliocene","","5.333","2.588","4895"
"225224","occ","","","21828","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","4888"
"225293","occ","","","21829","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","4895"
"225593","occ","","","21864","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","5217"
"225756","occ","","","21922","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","5236"
"225806","occ","","","21925","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","Holocene","2.588","0","5237"
"225848","occ","","","21929","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","5238"
"225849","occ","","","21929","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","5238"
"225910","occ","","","21933","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","5243"
"226064","occ","","","21956","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","5255"
"226065","occ","","","21956","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","5255"
"226112","occ","","","21957","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","Holocene","2.588","0","5237"
"226237","occ","","","21963","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","5266"
"226238","occ","","","21963","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","5266"
"226788","occ","","","22066","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","Holocene","2.588","0","5321"
"226862","occ","","","22068","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","Holocene","2.588","0","5320"
"227086","occ","","","22074","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","Holocene","2.588","0","5325"
"228016","occ","","","22329","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pliocene","Pleistocene","5.333","0.0117","4884"
"228050","occ","","","22331","cf. Panthera pardus","species","72185","","Panthera pardus","species","104158","Pliocene","Pleistocene","5.333","0.0117","5600"
"228056","occ","","","22332","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pliocene","Pleistocene","5.333","0.0117","5531"
"228089","occ","","","22334","Panthera leo","species","49734","","Panthera leo","species","46521","Pliocene","Pleistocene","5.333","0.0117","4885"
"228443","occ","","","22355","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pliocene","","5.333","2.588","5512"
"228456","occ","","","22356","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pliocene","","5.333","2.588","5537"
"228475","occ","","","22357","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pliocene","","5.333","2.588","5538"
"339253","occ","","","32050","Panthera cf. pardus","species","72185","","Panthera pardus","species","104158","Pliocene","","5.333","2.588","4451"
"339331","occ","","","32052","Panthera pardus","species","72185","","Panthera pardus","species","104158","Late Pliocene","","3.6","2.588","5595"
"339560","occ","","","32062","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","8611"
"340126","occ","","","32082","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","8611"
"340549","occ","","","32119","Panthera leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","8626"
"340568","occ","","","32124","Panthera leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","8626"
"358558","occ","","","34104","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Pleistocene","","2.588","0.0117","8649"
"360255","occ","","","34127","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","8650"
"360256","occ","","","34127","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Pleistocene","","2.588","0.0117","8650"
"361898","occ","","","34287","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","9013"
"362202","occ","","","34330","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","9013"
"365337","occ","","","34617","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Villanyian","Pleistocene","3.2","0.0117","9135"
"367691","occ","","","34782","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Early Pleistocene","","2.588","0.781","9135"
"367965","occ","","","34808","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Early Pleistocene","Middle Pleistocene","2.588","0.126","9135"
"367969","occ","","","34809","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","9135"
"369048","occ","","","34911","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Early Pleistocene","","2.588","0.781","9372"
"369097","occ","","","34916","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Early Pleistocene","","2.588","0.781","9345"
"369173","occ","","","34920","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Pleistocene","","2.588","0.0117","9345"
"369195","occ","","","34925","Panthera ? gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","","0.781","0.126","9345"
"369202","occ","","","34926","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","9345"
"369227","occ","","","34927","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","9345"
"369787","occ","","","34940","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","9383"
"370532","occ","","","35078","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Early Pleistocene","Middle Pleistocene","2.588","0.126","9469"
"374176","occ","10404","","35369","Panthera cf. gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Villanyian","","3.2","2.588","9580"
"375637","occ","10405","","35457","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Early Pleistocene","","2.588","0.781","9580"
"376000","occ","10410","","35472","Panthera cf. gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","","0.781","0.126","9580"
"376096","occ","10411","","35476","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","","0.781","0.126","9580"
"380830","occ","","","36134","Felis cf. pardus","species","104158","recombined as","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","9695"
"381191","occ","","","36206","Panthera cf. pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","9643"
