"Data Provider","The Paleobiology Database"
"381232","occ","","","22728","Panthera cf. gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Pleistocene","","2.588","0.0117","9643"
"381400","occ","","","36214","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","","0.781","0.126","9643"
"381401","occ","","","36214","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","9643"
"382555","occ","12462","","36373","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","7009"
"384484","occ","","","36585","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","9810"
"384485","occ","","","36585","Panthera tigris","species","90651","","Panthera tigris","species","104157","Pleistocene","","2.588","0.0117","9810"
"385582","occ","","","36729","Panthera pardus","species","72185","","Panthera pardus","species","104158","Late Pleistocene","","0.126","0.0117","9836"
"385596","occ","","","36730","Panthera pardus","species","72185","","Panthera pardus","species","104158","Late Pleistocene","","0.126","0.0117","9836"
"387467","occ","","","37024","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Pleistocene","","2.588","0.0117","9913"
"388992","occ","","","37203","Panthera tigris","species","90651","","Panthera tigris","species","104157","Pleistocene","","2.588","0.0117","9974"
"398264","occ","","","13066","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","10274"
"407966","occ","","","11803","Panthera pardus","species","72185","","Panthera pardus","species","104158","Late Pleistocene","","0.126","0.0117","10604"
"407999","occ","","","39252","Panthera cf. pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","10604"
"408445","occ","","","39314","Panthera aff. pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","10617"
"416072","occ","","","40341","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","10880"
"416652","occ","10828","","40398","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Pleistocene","","2.588","0.0117","9147"
"417603","occ","10829","","40502","Panthera cf. gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Pleistocene","","2.588","0.0117","9147"
"420019","occ","11064","","40808","Panthera cf. gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","","0.781","0.126","9147"
"439015","occ","","","42866","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","11378"
"439016","occ","","","42866","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","11378"
"439175","occ","","","42867","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Early Pleistocene","","2.588","0.781","11380"
"440021","occ","","","43008","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","11397"
"440022","occ","","","43008","Panthera pardus ?","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","11397"
"440123","occ","","","43016","Felis tigris ?","species","104157","recombined as","Panthera tigris","species","104157","Middle Pleistocene","","0.781","0.126","11400"
"440124","occ","11234","","43016","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","11400"
"442545","occ","","","43617","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11457"
"442553","occ","","","43618","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11457"
"442632","occ","","","43629","Panthera leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","11457"
"442678","occ","","","43631","Panthera leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","11457"
"442679","occ","","","43631","Panthera pardus","species","72185","","Panthera pardus","species","104158","Late Pleistocene","","0.126","0.0117","11457"
"443154","occ","11427","","43649","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","11465"
"443155","occ","","","43649","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","11465"
"443181","occ","11431","","43650","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","11465"
"443191","occ","","","43651","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","11465"
"443192","occ","11434","","43651","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","11465"
"443246","occ","","","43653","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","11465"
"443256","occ","11444","","43654","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","11465"
"443326","occ","","","43656","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","11465"
"443327","occ","","","43656","Panthera cf. pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","11465"
"443404","occ","11465","","43664","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","11465"
"443405","occ","11466","","43664","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","11465"
"443690","occ","11506","","43699","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","11465"
"443737","occ","11511","","43702","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11465"
"447694","occ","","","44091","Panthera cf. leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","11575"
"457431","occ","","","43020","Panthera pardus","species","72185","","Panthera pardus","species","104158","Early Pleistocene","","2.588","0.781","11725"
"487204","occ","","","48858","Panthera cf. gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Pleistocene","","2.588","0.0117","13025"
"487321","occ","12403","","48889","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","","0.781","0.126","13052"
"487399","occ","12412","","48908","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","","0.781","0.126","9580"
"487407","occ","12413","","48910","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","","0.781","0.126","9580"
"493157","occ","","","49814","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","13378"
"493213","occ","","","49816","Panthera cf. gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","","0.781","0.126","13380"
"497025","occ","","","50196","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","9643"
"497026","occ","","","50196","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Middle Pleistocene","","0.781","0.126","9643"
"497124","occ","","","50199","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","9643"
"497125","occ","","","50199","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","9643"
"497511","occ","","","50249","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","9643"
"497640","occ","","","50258","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","9643"
"497683","occ","","","50259","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","9643"
"498825","occ","13077","","50342","Panthera leo","species","49734","","Panthera leo","species","46521","Early Pleistocene","","2.588","0.781","13519"
"498839","occ","","","50342","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Early Pleistocene","","2.588","0.781","13519"
"498840","occ","","","50342","Panthera pardus","species","72185","","Panthera pardus","species","104158","Early Pleistocene","","2.588","0.781","13519"
"502570","occ","","","51100","Panthera cf. tigris","species","90651","","Panthera tigris","species","104157","Middle Pleistocene","","0.781","0.126","13623"
"502571","occ","","","51100","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","","0.781","0.126","13623"
"536652","occ","","","55533","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","14999"
"562956","occ","","","58809","Panthera cf. gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Pliocene","Pleistocene","5.333","0.0117","16685"
"583584","occ","","","21695","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","17685"
"583585","occ","","","21695","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","17685"
"610355","occ","","","65405","Felis onca","species","46524","recombined as","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","18853"
"627311","occ","","","67660","Panthera leo","species","49734","","Panthera leo","species","46521","Middle Pleistocene","","0.781","0.126","19319"
"645538","occ","","","69723","cf. Panthera pardus","species","72185","","Panthera pardus","species","104158","Early Pleistocene","","2.588","0.781","23392"
"654807","occ","","","70673","Panthera onca","species","49735","","Panthera onca","species","46524","Early Pleistocene","","2.588","0.781","19694"
"654896","occ","","","70704","Panthera onca","species","49735","","Panthera onca","species","46524","Middle Pleistocene","","0.781","0.126","19694"
"658995","occ","","","71060","Panthera cf. tigris","species","90651","","Panthera tigris","species","104157","Early Pleistocene","","2.588","0.781","23807"
"661595","occ","","","71277","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","23923"
"661809","occ","","","71303","Panthera onca","species","49735","","Panthera onca","species","46524","Lujanian","","0.781","0.012","24010"
"662003","occ","","","71322","Panthera onca","species","49735","","Panthera onca","species","46524","Ensenadan","","1.2","0.781","23916"
"662147","occ","","","71335","Panthera cf. onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","24109"
"662224","occ","","","71345","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","24078"
"662225","occ","","","71345","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","24078"
"662252","occ","21914","","71346","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","2195"
"664465","occ","","","71587","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","19694"
"683547","occ","","","73686","Panthera tigris","species","90651","","Panthera tigris","species","104157","Late Pleistocene","","0.126","0.0117","24700"
"685624","occ","","","71341","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","24751"
"689847","occ","","","74143","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Pleistocene","","2.588","0.0117","24886"
"699345","occ","","","56733","Panthera gombaszoegensis","species","56003","","Panthera gombaszoegensis","species","56002","Early Pleistocene","","2.588","0.781","25340"
"709956","occ","","","76059","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","25748"
"740984","occ","","","79683","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","26776"
"747555","occ","","","79757","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Rancholabrean","","0.3","0.012","26822"
"747556","occ","","","79757","Panthera onca","species","49735","","Panthera onca","species","46524","Rancholabrean","","0.3","0.012","26822"
"781493","occ","","","84183","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","28175"
"798180","occ","","","86852","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","29235"
"819176","occ","","","90036","Panthera pardus","species","72185","","Panthera pardus","species","104158","Late Pleistocene","","0.126","0.0117","30172"
"823726","occ","","","90752","Felis onca","species","46524","recombined as","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","30545"
"823727","occ","","","90753","Felis onca","species","46524","recombined as","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","30545"
"823728","occ","","","90754","Felis onca","species","46524","recombined as","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","30545"
"836047","occ","","","92787","Panthera tigris","species","90651","","Panthera tigris","species","104157","Late Pleistocene","","0.126","0.0117","31309"
"839971","occ","","","93181","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","31486"
"841151","occ","","","93244","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","31520"
"841232","occ","","","93252","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","Holocene","0.126","0","31526"
"841387","occ","","","93277","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","31561"
"841899","occ","","","93372","Panthera (Jaguarius) augusta","species","161738","subjective synonym of","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","31594"
"841900","occ","","","93373","Panthera (Jaguarius) augusta","species","161738","subjective synonym of","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","31594"
"842448","occ","","","93521","Panthera tigris","species","90651","","Panthera tigris","species","104157","Early Pleistocene","","2.588","0.781","31625"
"842463","occ","","","93522","Panthera tigris","species","90651","","Panthera tigris","species","104157","Early Pleistocene","","2.588","0.781","31625"
"842482","occ","","","93523","Panthera tigris","species","90651","","Panthera tigris","species","104157","Late Pleistocene","","0.126","0.0117","31625"
"842496","occ","","","93524","Panthera tigris","species","90651","","Panthera tigris","species","104157","Late Pleistocene","","0.126","0.0117","31625"
"847925","occ","","","94328","Panthera leo","species","49734","","Panthera leo","species","46521","Early Pleistocene","Late Pleistocene","2.588","0.0117","32076"
"872909","occ","","","96782","Panthera leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","33015"
"874999","occ","","","96973","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","33119"
"906503","occ","","","101897","Panthera tigris","species","90651","","Panthera tigris","species","104157","Late Pleistocene","","0.126","0.0117","34644"
"906591","occ","","","101899","Panthera tigris","species","90651","","Panthera tigris","species","104157","Late Pleistocene","","0.126","0.0117","34644"
"919163","occ","","","104033","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Holocene","","0.0117","0","1461"
"919479","occ","","","74143","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Pleistocene","","2.588","0.0117","1461"
"919495","occ","","","104680","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","Holocene","0.126","0","1461"
"945341","occ","","","109703","Panthera leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","36257"
"970678","occ","","","21709","Panthera leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","37298"
"970767","occ","","","21711","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","Holocene","2.588","0","37298"
"970920","occ","","","115184","Panthera ? leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","37303"
"971305","occ","","","21709","Felis leo","species","46521","recombined as","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","37332"
"973719","occ","","","93828","""Panthera"" cf. leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","37407"
"997983","occ","","","120834","Panthera cf. tigris","species","90651","","Panthera tigris","species","104157","Middle Pleistocene","","0.781","0.126","38591"
"1034203","occ","","","20302","Felis aff. atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","41080"
"1074878","occ","","","133644","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","43044"
"1087323","occ","","","136498","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","Holocene","0.126","0","43594"
"1087330","occ","","","71313","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","Holocene","0.126","0","43594"
"1089561","occ","","","92814","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","Holocene","2.588","0","43780"
"1106780","occ","","","115191","Panthera pardus","species","72185","","Panthera pardus","species","104158","Pleistocene","","2.588","0.0117","45190"
"1115209","occ","","","141367","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","45971"
"1139437","occ","","","144976","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","46836"
"1153831","occ","","","147609","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","Holocene","2.588","0","47532"
"1155903","occ","","","147815","Panthera aff. onca","species","49735","","Panthera onca","species","46524","Pleistocene","Holocene","2.588","0","47558"
"1179080","occ","","","145508","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","46859"
"1179856","occ","","","152009","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Rancholabrean","","0.3","0.012","48679"
"1181698","occ","","","152265","Panthera n. sp. blytheae","species","282559","","Panthera blytheae","species","282559","Late Miocene","Early Pliocene","11.608","3.6","48969"
"1181699","occ","","","152266","Panthera blytheae","species","282559","","Panthera blytheae","species","282559","Late Miocene","Early Pliocene","11.608","3.6","48969"
"1181700","occ","","","152267","Panthera blytheae","species","282559","","Panthera blytheae","species","282559","Late Miocene","Early Pliocene","11.608","3.6","48969"
"1196144","occ","","","154722","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","50316"
"1196145","occ","","","154722","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","50316"
"1196403","occ","","","154771","Felis cf. veronis","species","46531","subjective synonym of","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","50335"
"1196553","occ","","","74292","Panthera augusta","species","161738","subjective synonym of","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","50339"
"1196893","occ","","","154804","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","50371"
"1196946","occ","","","154805","Felis onca","species","46524","recombined as","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","2451"
"1201223","occ","","","155393","Panthera leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","","0.126","0.0117","50713"
"1226562","occ","","","161194","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Pleistocene","","2.588","0.0117","52516"
"1350572","occ","","","183123","Panthera leo","species","49734","","Panthera leo","species","46521","Pleistocene","","2.588","0.0117","61122"
"1350750","occ","","","183152","Panthera pardus","species","72185","","Panthera pardus","species","104158","Early Pleistocene","","2.588","0.781","61133"
"1350751","occ","","","183152","cf. Panthera pardus","species","72185","","Panthera pardus","species","104158","Early Pleistocene","","2.588","0.781","61133"
